block,cka_sev0,cka_sev3,cka_sev5,drop_0_to_5
0,0.9999999999877024,0.5589425758599492,0.49114895345679027,0.5088510465309122
1,0.9999999999145656,0.6802896318636713,0.4499930139860943,0.5500069859284713
2,0.9999999999754061,0.8552650018335278,0.5943196763946343,0.4056803235807718
3,0.9999999999777448,0.8332605595694641,0.5583413807025939,0.44165861927515093
4,0.9999999999989075,0.7144424189301372,0.4964932135306967,0.5035067864682108
5,0.999999999999897,0.7324854280449222,0.45194905816701764,0.5480509418328794
6,0.999999999999997,0.7045925485948499,0.38126999248894755,0.6187300075110495
7,1.0,0.647262065638139,0.2988386183907456,0.7011613816092543
8,1.0,0.6048538712167034,0.23516208684309567,0.7648379131569043
9,1.0,0.6319716248135161,0.2265489139132005,0.7734510860867995
10,1.0,0.6040411465547272,0.19542754910495724,0.8045724508950427
11,1.0,0.6183383016326339,0.1891757330924612,0.8108242669075388
