class,n_test,acc_clean,acc_sev1,acc_sev3,acc_sev5,first_sev_below50
airplane,13,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.07692307692307693,4
automobile,9,1.0,1.0,0.3333333333333333,0.0,3
bird,9,1.0,0.8888888888888888,0.5555555555555556,0.0,4
cat,12,0.8333333333333334,0.9166666666666666,0.4166666666666667,0.0,3
deer,11,0.9090909090909091,1.0,0.7272727272727273,0.0,4
dog,13,0.8461538461538461,0.8461538461538461,0.38461538461538464,0.0,3
frog,12,0.9166666666666666,1.0,0.9166666666666666,1.0,>5
horse,15,0.9333333333333333,0.9333333333333333,0.8,0.0,4
ship,13,1.0,1.0,0.6153846153846154,0.0,4
truck,13,1.0,1.0,0.46153846153846156,0.0,3
